Root	root
ChlaSp	Candidatus Protochlamydia massiliensis
PtAl	Pteropus alecto
DicSp_1	Dickeya sp. NCPPB 3274
PorHy	Porticoccus hydrocarbonoclasticus
GiSp_1	Gillisia sp. CAL575
DicSp_2	Dickeya poaceiphila
ClSp_104	Clostridium sp. KNHs214
CeCe	Cellulosimicrobium cellulans
BraSp_37	Bradyrhizobium sp. WSM2254
FuPs	Fusarium pseudograminearum CS3096
AuAl	Aureimonas altamirensis
CorRe	Corynebacterium renale
CobCr	Cobetia crustatorum
PnMu	Pneumocystis murina B123
FerAc	Ferrimicrobium acidiphilum
BraSp_15	Bradyrhizobium sp. CCBAU 15615
BraSp_18	Bradyrhizobium sp. CCBAU 43298
SeSe	Sedimenticola selenatireducens
BiCo	Bifidobacterium coryneforme
BraSp_16	Bradyrhizobium sp. CCBAU 15635
BifPs	Bifidobacterium pseudolongum
BifPs_1	Bifidobacterium pseudolongum subsp. globosum
BiIn	Bifidobacterium indicum
OrAb	Orussus abietinus
AcySub	Acytostelium subglobosum LB1
StFla	Streptomyces flavotricini
GeSp_8	Geobacillus sp. T6
PseSp_13	Pseudoalteromonas sp. SCSIO_11900
BacLe	Shouchella lehensis
StrCy	Streptomyces cyaneofuscatus
ActFr	Actinoplanes friuliensis
PsuLu	Pseudomonas lundensis
MyLu	Myotis lucifugus
TaSy	Tarsius syrichta
PlOr	Pleomorphomonas oryzae
PsMel	Pseudomonas meliae
PseTu	Pseudomonas tuomuerensis
PoKo	Pontibacter korlensis
GorMa	Gorillibacterium massiliense
AphIn	Aphanomyces invadans
PseuSp_68	Pseudomonas sp. ES3-33
PeKy	Pedobacter kyungheensis
Butsp_4	Butyrivibrio sp. AE2005
ExSp_3	Exiguobacterium sp. MH3
MiLo	Microvirga lotononidis
ActUt	Actinoplanes utahensis
BacPhBMBtp2	Lwoffvirus BMBtp2
MabSp_6	Marinobacter sp. HL-58
OcaSp	Oceanicaulis sp. HL-87
BurMi	Paraburkholderia mimosarum
AmTr	Amborella trichopoda
AnBu	Anaeroarcus burkinensis
PaeDu	Paenibacillus durus
StJi	Streptacidiphilus jiangxiensis
ChlSp_2	Chloroflexus sp. Y-396-1
St_51	Streptomyces sp. CNQ-509
BorHi	Borrelia hispanica
ThirSp	Imhoffiella purpurea
RhFa	Rhodococcus fascians
SiSp	Sinorhizobium sp. PC2
MiLut	Microbacterium luticocti
SalXi	Salinimicrobium xinjiangense
LeiPa	Leishmania panamensis
EpTe	Epilithonimonas tenax
MyOb	Mycolicibacterium obuense
OcAle_1	Oceanicaulis alexandrii
StAt	Streptomyces atroolivaceus
MyNeo	Mycolicibacterium neoaurum
MetTa	Methylobacterium tarhaniae
Balneatrix alpica	Balneatrix alpica
PhoIl	Photobacterium iliopiscarium
MaDa	Marinobacter daepoensis
PtGu	Pterocles gutturalis
PaeBo	Paenibacillus borealis
CasDe	Castellaniella defragrans
FrPe	Frischella perrara
NoRh	Nocardia rhamnosiphila
KiAr	Kibdelosporangium aridum
StAm	Streptosporangium amethystogenes
EdEd	Elephantulus edwardii
BraSp_28	Bradyrhizobium sp. OHSU_III
LaBaAC2012	Lachnospiraceae bacterium AC2012
LeeSp	Flavimarina sp. Hel_I_48
RoGi	Roseomonas gilardii
SemSp	Sediminibacter sp. Hel_I_10
MetOr	Methylobacterium oryzae
PreSp_32	Prevotella sp. HUN102
PaFa	Pandoraea faecigallinarum
HyhSp_1	Hyphomicrobium sp. 802
AerDh	Aeromonas dhakensis
CaSySp	Candidatus Synechococcus spongiarum
EgGa	Egretta garzetta
UnTh	unclassified Nitrososphaerota
AerPo	Aeromonas popoffii
DeJa	Desulfogranum japonicum
PlaSp	Planococcus sp. PAMC 21323
TiGu	Tinamus guttatus
PaHo	Pantholops hodgsonii
EnSp_16	Enterobacter roggenkampii MGH 34
MagnSp	Magnetospira sp. QH-2
EnSp_17	Enterobacter sp. MGH 38
MetSh	Methermicoccus shengliensis
PaSp_25	Paenibacillus sp. FSL R7-269
EnSp_15	Enterobacter sp. MGH 16
LeDi	Leptosomus discolor
EnSp_9	Enterobacter sp. GN02174
LatBa	Latescibacteria bacterium SCGC AAA252-B13
PseuSp_91	Pseudomonas sp. StFLB209
PsPe	Halopseudomonas pelagia
AtBa	Atribacteria bacterium SCGC AB-164-A22
PsBat	Pseudomonas batumici
AerBe	Aeromonas bestiarum
LepWe	Leptonychotes weddellii
ThBac	Risungbinella massiliensis
EnAc	endosymbiont of Acanthamoeba sp. UWC8
GalVa	Galeopterus variegatus
DaHa_1	Dactylellina haptotyla CBS 200.50
TyAl	Tyto alba
SpPar	Sphingomonas parapaucimobilis
BacAq	Rossellomorea aquimaris
BacMarm	Rossellomorea marisflavi
LysMas	Ureibacillus massiliensis
OcNd_1	Oceanobacillus jeddahense
PoCan	Porphyromonas canoris
PaeOd	Paenibacillus odorifer
PaSpu	Pandoraea sputorum
ZyPa	Zymobacter palmae
PaAp	Pandoraea apista
ClSu	Clostridium sulfidigenes
CaloSp	Caloramator sp. ALD01
FlEn	Flavobacterium enshiense
AerCa_1	Aeropyrum camini SY1 = JCM 12091
Vi_12	Vibrio mexicanus
BraSp_23	Bradyrhizobium sp. JGI 0001019-J21
PhAq	Photobacterium aquae
MeSp_8	Mesorhizobium sp. LNJC403B00
AltMa	Pelagerythrobacter marensis
MeSp_9	Mesorhizobium sp. LSHC420B00
HaoSp_8	Halomonas sp. PR-M31
MeSp_10	Mesorhizobium sp. LSHC422A00
CobMa	Cobetia marina
BaSpe_45	Bacillus sp. SA1-12
MeSp_7	Mesorhizobium sp. LNHC252B00
MesSe	Mesoplasma seiffertii
MeSp_12	Mesorhizobium sp. LSJC280B00
MesUn	Mesitornis unicolor
VibRh	Vibrio rhizosphaerae
EuHe	Eurypyga helias
MeloSp_1	Methylopila sp. 73B
CarCr	Cariama cristata
PsyAq	Psychromonas aquimarina
GaSt	Gavia stellata
RhoSp_11	Rhodococcus sp. R04
BurOx	Paraburkholderia oxyphila
ExUn	Exiguobacterium undae
PsTa	Pseudomonas taeanensis
DefCa	Deferrisoma camini
FlCa	Flavobacterium cauense
HypCu	Hyphantria cunea nucleopolyhedrovirus
DeMi	Deinococcus misasensis
MeSp_11	Mesorhizobium sp. LSJC264A00
RosMu	Roseovarius mucosus
CelSp_2	Cellulomonas sp. URHD0024
SeiSp	Sedimenticola thiotaurini
ChAr	Chrysiogenes arsenatis
EdHo	Edwardsiella hoshinae
StrFla	Streptomyces flavochromogenes
PseVi	Pseudoduganella violaceinigra
SuPs	Pseudosulfitobacter pseudonitzschiae
HelSp	Helicobacter sp. MIT 03-1616
CiCl	Citrus x clementina
StCam	Struthio camelus australis
BifTh	Bifidobacterium thermacidophilum
DeBu	Desulfatirhabdium butyrativorans
BatPr	Bathycoccus prasinos
HeIr	Heterobasidion irregulare TC 32-1
BurNo	Paraburkholderia nodosa
ElLi	Elstera litoralis
BraSp_38	Bradyrhizobium sp. WSM2793
BraSp_39	Bradyrhizobium sp. WSM3983
PsAe_32	Pseudomonas aeruginosa PAO1-VE2
WaIc	Wallemia ichthyophaga EXF-994
PseuSp_62	Pseudomonas massiliensis
PsAe_31	Pseudomonas aeruginosa PAO1-VE13
Butsp_6	Butyrivibrio sp. AE2032
CaPhEc	Candidatus Phaeomarinobacter ectocarpi
BRC1Ba	BRC1 bacterium SCGC AAA257-C11
MetCa	Methyloceanibacter caenitepidi
CapCar	Antrostomus carolinensis
MyIr	Mycolicibacterium iranicum
ChroPi	Chromobacterium piscinae
MyCos	Mycolicibacterium cosmeticum
ChVo	Charadrius vociferus
NipNi	Nipponia nippon
AqMa	Aquitalea magnusonii
TuCh	Tupaia chinensis
BacAc	Bacteroides acidifaciens
BaCom_1	Baudoinia panamericana UAMH 10762
EnAd	Ensifer adhaerens
StA	Streptomyces aureus
BurJi	Caballeronia jiangsuensis
AliiSp	Aliihoeflea sp. 2WW
AliPom	Alicyclobacillus pomorum
RuHa	Ruegeria halocynthiae
HaoSp_6	Halomonas sp. HG01
Ro156	Roseovarius sp. MCTG156(2b)
CrSe	Criblamydia sequanensis
CanOr	Cangyuan orthoreovirus
BurFu	Paraburkholderia fungorum
PoBra	Caldimonas brevitalea
LegMa	Legionella massiliensis
CloHy	Clostridium hydrogeniformans
FeSe	Ferrimonas senticii
HemSp	Hemileuca sp. nucleopolyhedrovirus
ExMe	Exiguobacterium mexicanum
StAce	Stenoxybacter acetivorans
BacCu	Zeugodacus cucurbitae
LysSi	Ureibacillus sinduriensis
BacPhHoodyT	Bacillus phage Hoody T
ClBacPH28	Clostridiales bacterium PH28_bin88
BacPhCAM003	Bacillus phage CAM003
HaoSp_9	Halomonas sp. TG39a
MabSp_7	Marinobacter sp. MCTG268
BacPhEvoli	Bacillus phage Evoli
DeTs	Delftia tsuruhatensis
CoBacBICA1	Comamonadaceae bacterium BICA1-1
ScHa	Schistosoma haematobium
BacBo	Alkalihalobacterium bogoriense
PaeWu	Paenibacillus wulumuqiensis
PaeDa	Paenibacillus dauci
SoVe	Solemya velum gill symbiont
CanPr_3	Candidatus Poribacteria bacterium WGA-4C
MeSp_13	Mesorhizobium sp. ORS3324
NovSp_5	Novosphingobium sp. P6W
StrDe	Streptococcus oralis subsp. dentisani
TuCa	Tuberibacillus calidus
Sh14102	Shewanella sp. ECSMB14102
ColGl_3	Colletotrichum fructicola Nara gc5
MyKy	Mycobacterium kyorinense
AtRo	Athalia rosae
LaBaJC7	Lachnospiraceae bacterium JC7
NoSe	Nocardia seriolae
EsSp_8	Escherichia sp. KTE159
LuBa	Lutibaculum baratangense
PseuSp_59	Pseudomonas sp. BRG-100
DesAce	Desulfurella acetivorans
NeoBr	Neolamprologus brichardi
FeIs	Fervidobacterium islandicum
PeSe	Pelobacter seleniigenes
SpoLa	Sporolactobacillus laevolacticus
BraSp_36	Bradyrhizobium sp. WSM1743
CoBr	Corvus brachyrhynchos
NeoPa	Neofusicoccum parvum UCRNP2
PaSp_31	Paenibacillus tyrfis
EuLa	Eutypa lata UCREL1
MeAq	Methylobacterium aquaticum
AliWo	Aliivibrio wodanis
PeVi	Penguinpox virus
MoVi	Moritella viscosa
CaAcPa	Candidatus Achromatium palustre
MeyTh	Methyloversatilis thermotolerans
PseuSp_88	Pseudomonas sp. RIT357
ExSp_6	Exiguobacterium sp. RIT341
OlAn	Oleispira antarctica
AltAt	Croceibacterium atlanticum
ProBac	Promicromonosporaceae bacterium W15
MycSp_9	Mycobacterium sp. URHD0025
PseCr	Pseudomonas cremoricolorata
BraSp_31	Bradyrhizobium sp. URHA0002
LiBo	Listeria booriae
PsePa	Pseudomonas parafulva
ClDr	Clostridium drakei
ClaCa	Cladophialophora carrionii CBS 160.54
PseuSp_92	Pseudomonas sp. TKP
AerPi	Aeromonas piscicola
MegSp_4	Megasphaera vaginalis (ex Srinivasan et al. 2021)
EnMoj	endosymbiont of unidentified scaly snail isolate Monju
ExSp_4	Exiguobacterium sp. NG55
AmRi	Amycolatopsis rifamycinica
LysSp	Lysobacter sp. URHA0019
CryAr	Cryptosporangium arvum
PseuSp_90	Pseudomonas sp. SHC52
GaPr_13	gamma proteobacterium L18
RhUd	Rhodomicrobium udaipurense
MeSp_14MeSp_1	Mesorhizobium sp. URHA0056
No_5	Nocardioides sp. URHA0032
DonSp	Dongia sp. URHE0060
AlkSp	Alkalibacterium sp. AK22
MycSp_8	Mycobacterium sp. URHB0044
BreFo	Brevibacillus formosus
ChlSp_1	Chloroflexus sp. MS-G
GeSp_6	Geobacillus sp. CAMR5420
RhdBac	Rhodospirillales bacterium URHD0088
HiAl	Hippea alviniae
St_75	Streptomyces sp. TAA486
AnaMa	Alkalihalobacillus macyae
AerFl	Aeromonas fluvialis
HymSp	Hymenobacter sp. IS2118
SkSt	Skermanella stibiiresistens
RoAer	Roseomonas aerilata
SiSp_1	Sinorhizobium sp. CCBAU 05631
PaRw	Pantoea rwandensis
PaRo	Pantoea rodasii
BacSaf	Bacillus safensis
LegLa	Legionella lansingensis
MySe	Mycolicibacterium septicum
LegGe	Legionella geestiana
BraSp_33	Bradyrhizobium sp. URHD0069
BraSp_32	Bradyrhizobium sp. URHA0013
MicrSp_4	Microbacterium sp. C448
EnBa_4	Enterobacteriaceae bacterium ATCC 29904
SphSp_14	Sphingomonas sp. YL-JM2C
ChiTa	Chitinibacter tainanensis
AcOk	Acetobacter okinawensis
CiSp_5	Citrobacter sp. JT3
Sh205m	Shewanella sp. 38A_GOM-205m
RaSp_4	Ralstonia sp. UNC404CL21Col
StaSp_10	Staphylococcus sp. URHA0057
CoBacURHA0028	Comamonadaceae bacterium URHA0028
MetHo	Methanosarcina horonobensis
AerFi	Aeromonas finlandensis
NehSp_1	Neochlamydia sp. S13
PseuSp_93	Pseudomonas sp. URHB0015
FiSp_2	Fischerella sp. PCC 9605
JanBa_5	Janthinobacterium sp. KBS0711
BuSp_25	Burkholderia sp. USMB20
ExOx	Exiguobacterium oxidotolerans
NehSp_2	Neochlamydia sp. TUME1
NehSp	Neochlamydia sp. EPS4
CloSa	Clostridium saccharobutylicum
LeMu	Leucothrix mucor
OpAs	Oribacterium asaccharolyticum
CalAz	Caloranaerobacter azorensis
SeNa	Sedimentitalea nanhaiensis
EnSp_8	Enterobacter sp. FB
PiVi	Pigeonpox virus
DeFri	Maridesulfovibrio frigidus
LaKu	Lactobacillus kullabergensis
PrSp	Proteocatella sphenisci
ChJa	Chromohalobacter japonicus
PeMan	Peromyscus maniculatus bairdii
DicDi	Dickeya dianthicola
CloDi	Clostridium diolis
PseuSp_87	Pseudomonas sp. RIT288
StRIT309	Stenotrophomonas sp. RIT309
RhiBa	Rhizobiales bacterium YIM 77505
SaRo	Salinarimonas rosea
BoMu	Bos mutus
PaeRi	Paenibacillus riograndensis
ShXi	Shewanella xiamenensis
JoQi	Jonesia quinghaiensis
AcSpRT	Achromobacter sp. RTa
MiIn	Microbacterium indicum
ExSp_5	Exiguobacterium sp. OS-77
PaSp_16	Paenibacillus maysiensis
BaEnMo	bacterium endosymbiont of Mortierella elongata FMR23-6
Rh_19	Rhizobium sp. LC145
ViFo	Vibrio fortis
PsRho	Pseudomonas rhodesiae
LiBa_1	Listeriaceae bacterium FSL A5-0209
DicSp	Dickeya sp. DW 0440
DoIn	Domibacillus indicus
SiAr	Sinorhizobium arboris
HoeSp_1	Hoeflea sp. BAL378
PsSo	Pseudoclavibacter soli
DomSp	Domibacillus tundrae
LiNe	Listeria newyorkensis
MeSp_6	Aquamicrobium sp. LC103
CalAc	Caldicellulosiruptor acetigenus
ArSp_1	Arthrospira sp. TJSD091
AntSp_4	Anoxybacillus sp. ATCC BAA-2555
GeSp_9	Geobacillus sp. ZGt-1
HarSp_1	Halorubrum sp. AJ67
SaliSp	Salinivibrio sp. KP-1
AerRi	Aeromonas rivuli
LuSp	Luteimonas sp. FCS-9
TheCa	Thermotoga caldifontis
ThePr	Thermotoga profunda
ErVu	Qipengyuania vulgaris
InIr	Invertebrate iridescent virus 30
PseDe	Pseudomonas deceptionensis
PsAz	Stutzerimonas azotifigens
BacTe	Bacillus tequilensis
PecBa	Pectobacterium betavasculorum
PseSp_12	Pseudoalteromonas sp. S3431
St_54	Streptomyces sp. CNT360
St_53	Streptomyces sp. CNQ865
St_50	Streptomyces sp. CNH287
ChCy	Aliterella atlantica CENA595
PseuSp_95	Pseudomonas sp. URIL14HWK12:I6
PseuSp_100	Pseudomonas sp. URMO17WK12:I4
DeBal	Desulfotignum balticum
ExAc	Exiguobacterium acetylicum
ArIk	Arsukibacterium ikkense
PseuSp_99	Pseudomonas sp. URMO17WK12:I3
PseuSp_97	Pseudomonas sp. URMO17WK12:I11
LaMul	Lachnospira multipara
PseuSp_96	Pseudomonas sp. URIL14HWK12:I7
TolSp	Tolumonas lignilytica
ActMu	Muribacter muris
FrSp_9	Frankia sp. Iso899
PseuSp_94	Pseudomonas sp. URIL14HWK12:I4
St_55	Streptomyces sp. DpondAA-B6
PaSp_24	Paenibacillus sp. FSL R7-0331
PaSp_23	Paenibacillus sp. FSL R7-0273
PaSp_18	Paenibacillus sp. FSL H7-0737
LegCh	Legionella cherrii
PaSp_17	Paenibacillus sp. FSL H7-0357
PaSp_20	Paenibacillus sp. FSL P4-0081
LegAn	Legionella anisa
PaSp_22	Paenibacillus sp. FSL R5-0912
PaSp_21	Paenibacillus sp. FSL R5-0345
AliMa	Aliagarivorans marinus
BuAn	Robbsia andropogonis
AliTa	Aliagarivorans taiwanensis
SphSp_12	Rhizorhabdus wittichii DC-6
AgRu	Agrobacterium rubi
CelBa	Cellulophaga baltica
AlSp_2	Alcanivorax nanhaiticus
AcSp_LC458	Achromobacter sp. LC458
MaSp_2	Marinomonas sp. S3726
MaTe	Mastigocoleus testarum
PeFi	Pestalotiopsis fici W106-1
GlLo_2	Glarea lozoyensis ATCC 20868
NovSp_4	Novosphingobium sp. MBES04
TrGr	Trypanosoma grayi
StrBac	Streptomycetaceae bacterium MP113-05
AtSp_3	Atopobium sp. BV3Ac4
BacPhCampHawk	Bacillus phage CampHawk
ActRi	Actinomadura rifamycini
PepSp_7	Peptoniphilus sp. BV3C26
RicBa	Rickettsiales bacterium Ac37b
CloLu	Clostridium lundense
ThaAu	Thalassospira australica
ViMy	Vibrio mytili
AlPrMf	Parvibaculaceae bacterium Mf 1.05b.01
PseuSp_55	Pseudomonas sp. AAC
TheIs	Thermodesulfovibrio islandicus
DeGu	Derxia gummosa
ThHv	Thermodesulfobacterium hveragerdense
TrPu	Treponema putidum
ViCar	Vibrio caribbeanicus
PseuSp_101	Pseudomonas sp. URMO17WK12:I8
DelLa	Delftia lacustris
AmTh	Amycolatopsis thermoflava
PseuSp_82	Pseudomonas sp. P818
MicDe	Microplitis demolitor
PaTh	Pandoraea thiooxydans
PseuSp_102	Pseudomonas sp. VLB120
MicVi	Microvirga vignae
DelSp_2	Delftia sp. RIT313
PaOx	Pandoraea oxalativorans
SkAe	Skermanella aerolata
BacMasi	Bacillus massilioanorexius
PseuSp_86	Pseudomonas sp. R62
ErOl	Erwinia oleae
NoMa	Nonlabens marinus
DesAlc	Solidesulfovibrio alcoholivorans
LaAp	Ligilactobacillus apodemi
St_48	Streptomyces sp. CNH099
HerSp_5	Herbaspirillum sp. B65
SacSp	Saccharomonospora sp. CNQ490
PseuSp_53	Pseudomonas sp. 21
MehSp_4	Methylotenera sp. N17
FerSp	Ferriphaselus sp. R-1
PseuSp_54	Pseudomonas sp. 5
RoEl	Roseibacterium elongatum
PseuSp_51	Pseudomonas sp. 2(2015)
BurBac	Burkholderiaceae bacterium 26
JanBa_6	Janthinobacterium sp. RA13
MehSp_3	Methylotenera sp. L2L1
AzSp_4	Azospirillum sp. B506
EnSp_6	Enterobacter sp. B509
GlTr_1	Gloeophyllum trabeum ATCC 11539
PhoAp	Photobacterium aphoticum
MaMy	Maritalea myrionectae
BiSa	Bifidobacterium saguini
ErMa	Erwinia mallotivora
DePr_2	delta proteobacterium PSCGC 5451
BraSp_17	Bradyrhizobium sp. CCBAU 41267
GiAg	Gilvimarinus agarilyticus
MabSp_2	Marinobacter nitratireducens
LeptoSp	Leptolyngbya sp. Heron Island J
NegSu	Negativicoccus succinicivorans
CuGr	Curvibacter gracilis
ChrAs	Chrysochloris asiatica
PsSy_36	Pseudomonas syringae pv. coryli
TeeSp	Teredinibacter sp. 991H.S.0a.06
BaSpe_26	Bacillus sp. 171095_106
CoAp	Coniosporium apollinis CBS 100218
FlBaASP10	Flavobacteriaceae bacterium ASP10-09a
HalHy	Halomonas hydrothermalis
BraSp_35	Bradyrhizobium sp. WSM1417
MasSp_1	Massilia sp. LC238
PsuFu	Pseudomonas frederiksbergensis
UncMet	unclassified Methylophilales
BorSp_1	Bordetella pseudohinzii
BosSp	Bosea sp. LC85
ApDo	Apis dorsata
BaSpe_33	Bacillus sp. H1m
AuPr	Auxenochlorella protothecoides
BrYu	Bradyrhizobium yuanmingense
PseuSp_74	Pseudomonas sp. H1h
PseuSp_83	Pseudomonas sp. PH1b
SphSp_13	Sphingomonas sp. SRS2
ArBa_11	Arthrobacter sp. CAL618
SprAl	Spirillospora albida
BuSp_29	Paraburkholderia sprentiae
FoSe	Fodinicurvata sediminis
BurDi	Paraburkholderia dilworthii
ThaVi	Thalassomonas viridans
DeJo	Desulfospira joergensenii
FoFe	Fodinicurvata fenggangensis
DeEl	Desulfobulbus elongatus
MiRo	Microbispora rosea
SaAi	Salinibacillus aidingensis
TeOv	Tenacibaculum ovolyticum
AneTe	Aneurinibacillus terranovensis
CaJo	Catenuloplanes japonicus
DrOr	Draconibacterium orientale
NaRo	Necropsobacter rosorum
BuSp_26	Burkholderia sp. UYPR1.413
PrpSp_2	Propionibacterium sp. KPL1844
PatMi	Patulibacter minatonensis
PseEl	Pseudoalteromonas elyakovii
PopSp_4	Porphyromonas sp. COT-108 OH1349
PsFi	Pseudocercospora fijiensis CIRAD86
SaDi	Saprolegnia diclina VS20
MuDo	Musca domestica
PopSp_3	Porphyromonas sp. COT-052 OH4946
PelSp_1	Pelosinus sp. UFO1
FalSp	Falsirhodobacter sp. alg1
AerCa	Aeropyrum camini
FlaLi	Flavobacterium limnosediminis
PyBi	Python bivittatus
TheAr_7	Thermoplasmatales archaeon SCGC AB-540-F20
BuSp_24	Burkholderia sp. TSV202
PsuAl	Pseudomonas alkylphenolica
DeRi	Devosia riboflavina
OlMa	Olleya marilimosa
MepSp_1	Methylomonas sp. LW13
BacVi	Neobacillus vireti
HaoSa	Halomonas salina
WinSp	Winogradskyella sp. PG-2
DesuThe	Desulfovirgula thermocuniculi
LyAr	Lysobacter arseniciresistens
PseuSp_71	Pseudomonas sp. FGI182
MartSp_1	Marinitoga sp. 1197
MartSp	Marinitoga sp. 1155
ChrSu	Chromobacterium subtsugae
AliHe	Alicyclobacillus herbarius
TaSa	Tatumella saanichensis
AzHa	Azospirillum halopraeferens
NiIr	Niveispirillum irakense
CaCoOd	Candidatus Contendobacter odensis
DeVi	Desulfobacter vibrioformis
AzAu	Azohydromonas australica
MeOr	Melaka orthoreovirus
SuHy	Sulfuritalea hydrogenivorans
CeSo	Ceratosolen solmsi marchali
CamFe	Camelus ferus
MabSp_5	Marinobacter sp. EVN1
MelVi	Melbournevirus
MabSp_4	Marinobacter sp. EN3
EpiSp	Chryseobacterium sp. FH1
ShYQH10	Shewanella mangrovi
MyTe	[Mycoplasma] testudinis
AlTe	Algoriphagus terrigena
ShAl	Shewanella algae
CorTu	Corynebacterium tuscaniense
LysVa	Lysinibacillus varians
ViJa	Vibrio jasicida
PseuSp_98	Pseudomonas sp. URMO17WK12:I12
PseuSp_77	Pseudomonas sp. LAMO17WK12:I2
BaSpe_48	Bacillus sp. TS-2
CorVi	Corynebacterium vitaeruminis
GeT	Geobacillus thermocatenulatus
FlaSp	Flammeovirga sp. OC4
PseuSp_63	Pseudomonas sp. CHM02
AdMi	Advenella mimigardefordensis
BraSp_34	Bradyrhizobium sp. USDA 3384
FuGr	Fusarium graminearum dsRNA mycovirus-1
MuLu	Flagellimonas lutaonensis
DesSp_6	Desulfohalovibrio reitneri
PseuSp_58	Pseudomonas sp. BAY1663
SaPac	Salinispira pacifica
St_58	Streptomyces sp. NRRL B-24720
NocAr	Nocardia araoensis
NoPn	Nocardia pneumoniae
BuSp_23	Burkholderia sp. MSHR3999
MycSp_6	Mycobacterium sp. UM_WWY
MycSp_5	Mycobacterium sp. UM_WGJ
RuRa	Rubrobacter radiotolerans
ProRu	Proteiniclasticum ruminis
AgBi_2	Agaricus bisporus var. burnettii JB137-S8
GlKi	Gloeobacter kilaueensis
StCh	Staphylococcus chromogenes
HaBu	Haplochromis burtoni
BoTr	Bordetella trematum
DesTe	Nitratidesulfovibrio termitidis
PhaLe	Phaethon lepturus
AstSp	Asticcacaulis sp. AC460
AstSp_2	Asticcacaulis sp. AC402
PseCh	Stutzerimonas chloritidismutans
AstSp_3	Asticcacaulis sp. AC466
AstSp_1	Asticcacaulis sp. YBE204
PsRh	Pseudomonas rhizosphaerae
KuHu	Kurthia huakuii
CoTh	Comamonas thiooxydans
CloAce	Clostridium aceticum
ClAu	Clostridium autoethanogenum
BraSp_22	Bradyrhizobium sp. JGI 0001002-A22
KlIn	Kluyvera intermedia
PrKr	Promicromonospora kroppenstedtii
St_72	Streptomyces sp. NRRL WC-3773
LyDe	Lysobacter defluvii
PseSi	Pseudomonas simiae
BurGr	Caballeronia grimmiae
DelSp_1	Delftia sp. 670
PseuSp_49	Pseudomonas sp. 11/12A
BuSp_21	Burkholderia paludis
BuSp_22	Burkholderia sp. MSh2
MyEl	Mycolicibacterium elephantis
RhiRo	Rhinopithecus roxellana
XiMa	Xiphophorus maculatus
CeNe	Cedecea neteri
SphYL23	Sphingobium bisphenolivorans
PsSpi	Pseudonocardia spinosispora
PseRu	Pseudoalteromonas ruthenica
PsXa	Stutzerimonas xanthomarina
ManVi	Manacus vitellinus
BacOk	Halalkalibacter okhensis
PhoDa	Phoenix dactylifera
NanGa	Nannospalax galili
MaSal	Marinobacter salarius
MaSi	Marinobacter similis
St_62	Streptomyces sp. NRRL F-5639
BraSp_27	Bradyrhizobium sp. LTSPM299
BraSp_26	Bradyrhizobium sp. LTSP885
MetVa	Methylobacterium variabile
BraSp_21	Bradyrhizobium sp. Ec3.3
AerAq	Aeromonas aquatica
St_61	Streptomyces sp. NRRL F-5126
EnSp_4	Enterobacter sp. 42324
WeHe	Weissella hellenica
SulAr	Sulfurospirillum arcachonense
St_59	Streptomyces sp. NRRL F-2664
MabSp_3	Marinobacter sp. C1S70
SaccSp	Saccharothrix sp. NRRL B-16314
PauSp	Paucisalibacillus sp. EB02
ProBe	Prolixibacter bellariivorans
BaSpe_29	Bacillus sp. EB01
PaeHa	Paenibacillus harenae
CuMe_1	Cucumis melo
LiVe	Lipotes vexillifer
MaAg	Marinimicrobium agarilyticum
KitSp_1	Kitasatospora sp. NRRL B-11411
BraSp_25	Bradyrhizobium sp. LTSP857
AlSi	Alligator sinensis
BiZe	Bipolaris zeicola 26-R-13
BiOr	Bipolaris oryzae ATCC 44560
EnSp_7	Enterobacter sp. DC1
ChIs	Chromohalobacter israelensis
PaePa	Paenibacillus massiliensis subsp. panacisoli
DeThi	Desulfonatronum thioautotrophicum
ClYe	Cladophialophora yegresii CBS 114405
PsFloc_1	Pseudozyma flocculosa PF-1
St_71	Streptomyces sp. NRRL WC-3725
PhoGa	Photobacterium gaetbulicola
St_69	Streptomyces sp. NRRL S-87
AerEn	Aeromonas encheleia
BacGi	Heyndrickxia ginsengihumi
PaeTa	Paenibacillus taiwanensis
St_52	Streptomyces sp. CNQ-525
St_70	Streptomyces sp. NRRL WC-3549
SnGl	Sneathiella glossodoripedis
CelSp_1	Cellulomonas sp. A375-1
CrPhCR8	Cronobacter phage CR8
Aeromonas lacus	Aeromonas lacus
St_66	Streptomyces sp. NRRL S-384
St_67	Streptomyces sp. NRRL S-475
ClPs	Cladophialophora psammophila CBS 110553
St_68	Streptomyces sp. NRRL S-481
CaEp_1	Capronia epimyces CBS 606.96
CaEp	Capronia coronata CBS 617.96
St_65	Streptomyces sp. NRRL S-244
CupSp_5	Cupriavidus sp. amp6
St_64	Streptomyces sp. NRRL S-1824
CoFa	Corynebacterium falsenii
Rh_18	Rhizobium sp. JGI 0001012-L22
KoOr	Kosakonia oryzae
ArAlg	Arenibacter algicola
CroSp	Cronobacter sp. 1383
AsMe	Astyanax mexicanus
St_63	Streptomyces sp. NRRL F-5917
ThSWB20	Thauera sp. SWB20
FrHe	Franconibacter helveticus
MariSp	Marinimicrobium sp. LS-A18
JaAq	Jannaschia aquimarina
BalAc	Balaenoptera acutorostrata scammoni
AqTe	Aquincola tertiaricarbonis
AzTh	Azospirillum thiophilum
ToMi	Phaeoacremonium minimum UCRPA7
