Root	root
BuAp	Buchnera aphidicola BCc
BiAn	Bifidobacterium angulatum DSM 20098 = JCM 7096
IdHo	Ignicoccus hospitalis KIN4/I
KyFl	Kytococcus sedentarius DSM 20547
ClSpi	Thomasclavelia spiroformis DSM 1552
AtPa	Lancefieldella parvula DSM 20469
SySp_9	Synechococcus sp. RS9917
CaPr	Candidatus Protochlamydia amoebophila UWE25
DyFe	Dyadobacter fermentans DSM 18053
ViCh_13	Vibrio cholerae MZO-2
EuVe	Eubacterium ventriosum ATCC 27560
BaPs	Bacillus pseudomycoides DSM 12442
SuSo	Saccharolobus solfataricus P2
ViCh_27	Vibrio cholerae RC9
ChGle	Chryseobacterium gleum ATCC 35910
UrPa	Ureaplasma parvum serovar 3 str. ATCC 700970
StAu_17	Staphylococcus aureus subsp. aureus TCH60
PeSp	Pedobacter sp. BAL39
ViCh_11	Vibrio cholerae MAK 757
CoMa	Corynebacterium matruchotii ATCC 33806
ViCh_10	Vibrio cholerae 1587
ShSe	Shewanella sediminis HAW-EB3
ViCh_6	Vibrio cholerae V52
PrMa_7	Prochlorococcus marinus str. MIT 9301
ChFer	Chlorobium ferrooxidans DSM 13031
ViCh_5	Vibrio cholerae V51
PrAc_1	Cutibacterium acnes SK137
CrAl	Croceibacter atlanticus HTCC2559
StAu_16	Staphylococcus aureus subsp. aureus MN8
ClRa	Thomasclavelia ramosa DSM 1402
ViCh_20	Vibrio cholerae MJ-1236
CySp	Rippkaea orientalis PCC 8801
ViCh_26	Vibrio cholerae TMA 21
ViCh_4	Vibrio cholerae RC385
ViCh_17	Vibrio cholerae VL426
UrPa_1	Ureaplasma parvum serovar 3 str. ATCC 27815
ViCh_18	Vibrio cholerae TM 11079-80
ViCh_1	Vibrio cholerae M66-2
ViCh_7	Vibrio cholerae AM-19226
BacCe	Bacillus cytotoxicus NVH 391-98
UrUr	Ureaplasma urealyticum serovar 2 str. ATCC 27814
ViCh_19	Vibrio cholerae BX 330286
CaPh	Candidatus Phytoplasma australiense
MiMa	Microscilla marina ATCC 23134
ChVi	Chromobacterium violaceum ATCC 12472
MeFlo_1	Mesoplasma florum L1
ViCh_8	Vibrio cholerae 2740-80
ViCh_16	Vibrio cholerae 12129(1)
ViCh_15	Vibrio cholerae B33
